RollNo,RollCode,EncryptedQRPayload
26010001,11008,"qUHNZrpILVlJACbr4Ls2gYPofxRYqFCR9v2UKvooHlmPpW+VwfdeEMMruJvbsaB0bnw20SPnk6hVaeu0YMoIl9fAItcLfvmPZJFssVQNd3CFoX1cxe9vGqM8V8uhdf95FfE9I5S+qQQm4Fdtzd85Gxzlia97ZjH++GpJLZjOidtUaNFbIDgg4s85MyaurjMaZswfs5bCyTrf73XamNw5+ftNy65dhZneyX7Abrrozt94U/6MOleFX3qmAUYRF4sMd7HxghiL+vX8oUe7U8L35iT2si6OdygZvsH0qrmXd/zA1YcPAkeVAoBA0Jz3TefThfBFoUMqAbc0Bbk6R+nKebIG7UMdP904bE93APqjr/DB3gil2/o+CniEhEPJnu5SKzDnN1l1EYt91OOxPXsgGAsGx+kR2VLLPLZDPGmUIXlfs0QoTF7p3KyCW1yhI9Sx5FlH/QUjnzdf8yLXwXiJIk9O9oriIF0rA4L1mXteMg2HQPuOBgZD9vN8VEPFR1lX7DonWgnhe0IkhJoEVc+995wwfjVJe18efANIW1nnONjH4EkMWOdHi9RHzZnh/qpJrHE1bhetZbe9NsEeeXvlsGViEI9Yhktt2Hprfmg+oYs9fdafhmONXYa5nLVfM1rY"
26010001,11009,"3jaG1fEZtyiU5OPRgdf4UMhBEyd99pyig+YZCKNkeD4s/H3ZEUTO2+n6/FoR3S71PLqncyyJ9muUW8gXoG7hzdsBZVIYxn69kpzcpPv86xgmNgvU+V90wQnPeHo49sqA7It49CkvbDeDSlstQYQKvrh8fhHn+xgmUaL3leEBigvGy/QuzkgSLLWWBW9nwN774ttG5Bot9bogycKqPs09YTxm0yzRWxmTKvbrtTwK6Lgc0Ms7MCWZJawGCEORGK7zxnNalYHyZkKOIbp0pVxyGP+eHqQcAYmXCHsdf/V5Xj53lqx+r0NKNZ9gbt8ATmax1wzab1QVVd7Uh99jn6gMFYA2DJTVE2gIGyuvV68+qPhxO1EtUDZQ6Ye2n2OUBFJNBrzEtGaX5XegVxtinL548mOnybzLa4L/zqpf1rlBEkpGojjMs0MkHpcLpio8yf2gkXmrqMJDtQ77S31erSeZn1Vz6nJHJp6sXtxkFvWN8Wr0IdsIudT6z+eeNgorHGu6WGaT+5nHaXWkbwkU4yqb5yzymZPzc61dbK7ZMrjkpqbmggc5+TklwmUpcLk+taAwtGZY3vk6BuG/PAFK4bQtiw=="
26010001,11010,"MFm8zSpGi2IyBT1zB+gRq3iTDbzSSu6mQWFPiPpI9xwI36JXQKYroLLzYBgrUGRueZyxfGz7gWbIUN2mfB21UBDdoNJ5lxfrRYXmwB+o0tLAFqwa/b59Q+RKyYokh8mjzCvoWZZFb+9eXRNsaj6kXJz6dJ3+vMCU9GQnlKI2cg5uotHouHKer24oW48dLki929O7WwtXIY05YDDa7LK4UrQyoqL6/tuHDh0SNvns93ob3NBFy78FNMtm+EtwJK032AOdgDmIU0BQqRriob7naaPsOpSSWPOVOM9Cfe7NASRdXyDO8VR99fYtmOrAVDSWN+WoUUyF9pMmfzhKTHNYmnAJY0DR7q2kQTBknEILO/ywUmTbxFzfTtwl5iu3mR81xamaNDlahC2B34XkC9a8p98mWvdIcc+p9kQyFS3fofiLKxJ3R/Bce7ijziPmfw/vpwfQWb1y0OEK5SSvd+Hz0TfyrMl3IyikZYaDbVCdLQGS8X0m5T+9kqLl975B2+WWx6mP8KUVxIszH3IpjBXMojwJ4FoUmDMjT7WO3u3LTnKh5Xg32GFMLVhEp3+kxzoc"
26010001,11011,"wWe0A2zpe76na1xcz8Dxb6pmOiM4iQr6q62gmyVUYvc1SFIydKHZuYrD5G4QG6drBQywwHryf8eVZQ8MqCmz/2wPzu40mO4J7vitfNGsbf3OMzDTKwRo5PRyMG0M+ES7h84YPVozVLQ2eAOVLK879FF1sH1K/w8C0z9z1Vo5syodC1X0kwBBRMMWqbRiLQiYAtbQsRvmYqpWd9ivxwIBL+zVwIcyYBkIZoU1r86xmbgDYuN7ra2X2tIu8emuqpnM5JxNq4ZpZCw5HPto91RdAnrI87RVBcIrTXMcNQ9T2GQrrC42z8eUa781pBOePXkNirF7uESse/LoTFh+e0/zbAzXNU58K2K9SeV7ghqatouKrKcqK7HkurEp1dYyR0Tdu1/OqxKnDBMsKPUsjYK5xA=="
26010001,11012,"MGjo1VWNC0ldosfxCBYPZxZjtjDVddu4/1irhuDlVSBwfI81tH6+P2Wbf/Y5kWichuDA2IzUFIgNfDAu0oBWlhvH3l5iAPpEftByFQOBmn+bJnGEf7K1hc8o2qHB0Bz4Vos7Z/m403+RVN45fKmdRbD1JxHxF9SrCVgB5WSbq8JC1Wbd/09u+AIOEN3YrmaCx4KTX7ykFGaAQQCvWKyBCZ6uGWsOzwHQmftTbjYmJj0ilRp9ZxXycOGdW+JMP9M8xdACwIAVi6OU/bFUKZ44KFRxG4DMAwZy60jdwP3520yGBKI+7fvQ55VkP94pNwu9X0rcnvTjS7UpMvCrTgY2ZtdvmqWxb1da+8zOBKz2tr8h04+1F1NO9inu4tWaUXcGFUENRipgS/bdhb2NUMW3KPrBDcsiObOzj49AGv6HT6EpmCmWKsVuFxTINV/WnK0qh9Bb30CvAaPh26WPWsVHzOm0fAUQtKKqMFz2hFAtF06jk0uWg8PukNebGP6vBz5qNd6tnaxGOP4Tx7C5v352FvXBkxM1lRRhLE4QRdg6Oxtc2jfD1iTCZWYz3muUXd7nfBqibI1zl+sLDzMAJUq9QQwGedkCdBontw8qxZXRQ9E="
26010001,11013,"YKSEXr1mkJ3hPHMax/UlQMX80H3/4c3AHtM5d0qh9l8F3ex6jH5XEwuYBytTe9FJLBfXBiUw3dKAzQp/7buhvBxIHM5ALyikXHKzl+6qeCf6lC2mvqAhEXIn4mgcAmt9jD5H7gZ4GpZEE/uf16pUbvfHTfWbqiSNmP4yIl5Aul9lpC5wsc8v7CzyqsbzNKN3PxphDJQyL/mOCnSAdeyBpRj9Mn93J7Vv464DPBQQQ3KS0f2xM3PW37XlFHzrxRJ7YJnsUzkdbcK0HlisYppgn6hlwPVbSWHtCwgldUqkmpmO52c0w2PGDHcLO4MDaFpsTWDlHaWBODtFrg2mj1J6bk011XYUAy6Isl9Qx7Oi7v4NuWrejKO+06c9JLGbcTlQkk1S6O4PJ4zdQXcEn3L2O7ITPAbxzKWilCyHgOepsS8Np//S6TdTXGW8+2kfVyAzXQjbVCPyVijslqVZxqOPgVg9BymGN34bqk3oxl7i/2k7DchGTKX3u7jIObNuucwIbkrBkxptjiMkzMZOAh5qVTwakk3p1tcSbDeqlAdTcbJbyRhGUAxFx2HhHUBZdnuwSTxmBi+hyyH2gx2HUflSKA=="
26010001,11014,"P58ySlTcoziE1rnFuNWznt1U08ZGEDu1/3Z73s/kPQH4i04oAIM7QoY7iDYl7WxRjboUuNw+EwfbXyfAl3nARmvqI/HZNzvIM862nUdd4umZVsdVQDHgjhlTHsSJDhkI9T5u5Ptz+0jqUYvqhgFFgrLo2wiErhFJxMk9JeSs2xtk/3JM1Qsv3D0M2PVvEU64nZ04Ntk22PnPxniZbPMd5Gt4B24CLHyV3g9cDle1EDwYWbyGIAFlYJm4hm/cCkrKvIWN1ckTr5DDU/Dlk8iqDVYHuLSma+szeGTO1Spahp+4svXyyI7lqiHxR26D67353fYw4raE+zXnfsZydR9qsm87CjiBYFiayS83TkpNW1EJALVi/75D630gdr7fbe3qBiYMDznzIB0Eh3OJ5yRN7EVGowuPeiJK44NcXhoN2gPglNLt4uIY/iXMWMYiep1Hb2froXdO7L854dlp2sxKafV3IcBWoOyR9JJFquCpRZ+VNEsxDaRfqoTPSf3M093hKqz0hL4Vdm5UtHudFWknNK3FY9jb5VT03HR+01SQpWihHVUKWrBAEen6mLjBnqDoFfXiO+ZlTCM2Zn9LjhK8Rg=="
26010001,11015,"82lj7QDn7Yp0/hyRo78f42BZK0OLabDG+DxIcZPRGumVFgkuvuPjsixGubW4rrHM4tgJgY9P14A1cNfPqGS4GzoJ+lHNy3dHcZo9k+kAdzN/5vDlng7C2K2LEe/QWkmyU0ygdgBzU9f5pKqXL2qk+ljifbvVpiayIOkz1uGhx4hqM7VcDaw7lVSkJ045cCFQFyTcFFW1wVli0Oq0aLiOFoCz+6CYhn0kkmN7TMJs8m1bqRgJEaMZiFSFzWFRo9IHrhNcrtga8bT1FBilbjdyH5j5fbsMBcbaRGjh6tygRTqnT3zERLpnS4NUtvTOIXbzXbrI7JesWIv/O0G/rNaQjB7ehBo77uwyLVHJzfFVZab14plKNPbtKHSU+oRUXf67Hc5yy2YX5QekJ3RLEVulLQBA/hHCZ5jCQKYvfqH2KmDJxYlmGWmdHNVOmcIBR4/pTC0ircbBrlGTHwuzOFsG51n2gZTE8GRkPNt95IfWjCIVl5LH2SJ8OEvxFYYkNxxxyRyAHFYL2V8l2lDjsm58fNmbcQtaW8e2rvQYyKWXelI9Uaj5+EhdZbTuhppGYeoVz0/LfPueJ3l/Y4DBCk7oOh3dClRnfC4/AmUo7uAEyVFYpgGGLiYHQoQt8MwP7/wV"
26010001,11016,"eYET32pZb9CnmOt1jnicJ5wUDbaFH7aOFbcJHxlFq5DjXFvxT7rngnZPbAhTY3dD0y5DWVdTEeE1kdeYBAFdNqNVQZy3HQ6NQCmBJy4OvIg0r7Y+vGTaHUOxMJHsMoc/PPhZ+WasT532m5ggMh+KY4cjUHJ2KdEv++i0igr6Y6qpaahMbpAVgr8BNvLRnkcql3OIwXy+/c2XtBBUpSTVTgt3TR8Jp2nUij205/8SdYBlmpOxkrk1u8qvqSjiMCOhYWRQbEyMExc1+aRi5ht9Z2l/0vttRlWgfgDuuBRMsqWw/Iula+RNk/4iuewcJYnUJWbX0JlsluijFIe6hgHcJjCf5Hb39BdJgtnTl6mWCFkeSd1dXtwwahGpUSnf8nKvui4XfsX4QBm8WxyhaL7PRXWDu//SQOhTavETZDeBZ9XJ6X6LwtzIMHgl5LOro9D36LybP3seRSYurvTEjPjJ4RTObNK98QQdK9lXHL2u+onbDrtxK+SbUzlNywFf8AEcATjvoS2246JU80VWzkEao2l+iYb5Nz0qcIyqIBR3Q+66GB9gZvSYEuil+2TnH+ol5PAbF7mcxMZ1RnJXtgWkAsV7rjW3vCX/070cZNyw0RfmuTRa75wixxuNpN2Hrmyn"
26010001,11017,"tzw649q7OVTubqeB0XJFBmVPPvLUAGqXYEi9f38A1ARvJtCeJlsVvLRmkQHWaHmsLlfoedRnFec7Rq1aq8/gAhbBPkxMzWSNzNgX5N9gOT2JRwBv6RBjp2/prhZOLgX5E3NMNorPJPU5uxJaK0yAkmVUxP9qXVhkJBkrqZmuODGCKvQ5bFWSQmzfLp0my4lQ58pdcbLX06MTY4UVUJiaKbmAiTRKJlZIn0Z0kE9klVp2dhyw7mVpAF/KImIJxmx4kGAjkoyisUh8a6CVrIIhW8SsPrP/aftwIoM5JpmPaxgWUU2Mabev91UBMxXmBLFjG9D+AEuZfhuMgy6rprIT8mgozJDdEQnBFopoPCJa4umJQvffujv7uEmGlNr8gIXeyNLlpWytIyv7Km2InPne754EFzuilfmh7u0kiCEuaPWQm10x+NzFOdvVSvT5SriGNArO2IRepWYKMG3t7d/pK17qpGKgztcB0GpsLcmETQz50noQSOrUl+hg8TyVEewD5eX5aQFIXvELbWlzrcO3AppoMYrJmoq6ivw7Zz50xISLGvd5vYBZOSHal3MDH2ci"
